OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
1000,947009,400,2015-01-01,2015-01-01,GBP
1001,1772036,430,2015-01-01,2015-01-01,USD
1002,1518349,660,2015-01-01,2015-01-01,USD
1003,1317097,510,2015-01-01,2015-01-01,USD
1004,254117,80,2015-01-01,2015-01-01,CAD
1005,1160597,390,2015-01-01,2015-01-01,GBP
1006,1895118,480,2015-01-01,2015-01-01,USD
1007,1008672,410,2015-01-01,2015-01-01,GBP
1008,1576121,530,2015-01-01,2015-01-01,USD
2000,1639738,530,2015-01-02,2015-01-02,USD
2001,2085372,999999,2015-01-02,2015-01-15,USD
2002,1732602,510,2015-01-02,2015-01-02,USD
2003,728917,300,2015-01-02,2015-01-02,EUR
2004,1724183,570,2015-01-02,2015-01-02,USD
2005,2054699,480,2015-01-02,2015-01-02,USD
3000,1793739,500,2015-01-03,2015-01-03,USD
3001,1048105,400,2015-01-03,2015-01-03,GBP
3002,1035492,390,2015-01-03,2015-01-03,GBP
3003,787164,290,2015-01-03,2015-01-03,EUR
3004,758284,290,2015-01-03,2015-01-03,EUR
3005,1265697,570,2015-01-03,2015-01-03,USD
3006,2003801,550,2015-01-03,2015-01-03,USD
3007,741423,280,2015-01-03,2015-01-03,EUR
3008,1614670,530,2015-01-03,2015-01-03,USD
3009,208950,999999,2015-01-03,2015-01-11,CAD
3010,577093,200,2015-01-03,2015-01-03,EUR
5000,241935,80,2015-01-05,2015-01-05,CAD
5001,290770,999999,2015-01-05,2015-01-16,CAD
5002,341312,80,2015-01-05,2015-01-05,CAD
5003,2065475,605,2015-01-05,2015-01-05,USD
6000,1509062,650,2015-01-06,2015-01-06,USD
6001,1038705,410,2015-01-06,2015-01-06,GBP
6002,1392024,560,2015-01-06,2015-01-06,USD
6003,1691713,560,2015-01-06,2015-01-06,USD
6004,1074024,370,2015-01-06,2015-01-06,GBP
7000,737310,300,2015-01-07,2015-01-07,EUR
7001,510951,240,2015-01-07,2015-01-07,EUR
7002,500243,200,2015-01-07,2015-01-07,EUR
7003,1524797,580,2015-01-07,2015-01-07,USD
7004,1629889,520,2015-01-07,2015-01-07,USD
7005,363407,80,2015-01-07,2015-01-07,CAD
7006,1349132,570,2015-01-07,2015-01-07,USD
7007,274369,90,2015-01-07,2015-01-07,CAD
8000,591707,240,2015-01-08,2015-01-08,EUR
8001,1963405,660,2015-01-08,2015-01-08,USD
8002,1025718,360,2015-01-08,2015-01-08,GBP
8003,1843069,630,2015-01-08,2015-01-08,USD
8004,498529,270,2015-01-08,2015-01-08,EUR
8005,1754719,540,2015-01-08,2015-01-08,USD
8006,1426256,660,2015-01-08,2015-01-08,USD
8007,2002567,560,2015-01-08,2015-01-08,USD
8008,2074052,500,2015-01-08,2015-01-08,USD
9000,1599094,550,2015-01-09,2015-01-09,USD
9001,866858,310,2015-01-09,2015-01-09,EUR
9002,359944,80,2015-01-09,2015-01-09,CAD
9003,1069972,370,2015-01-09,2015-01-09,GBP
9004,999968,410,2015-01-09,2015-01-09,GBP
9005,1993797,999999,2015-01-09,2015-01-26,USD
