OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
1000,0,2015-01-01,2015-01-01,947009,400,48,1,112.4625,98.967,57.3375,GBP,0.64155
1000,1,2015-01-01,2015-01-01,947009,400,460,1,749.75,659.78,382.25,GBP,0.64155
1001,0,2015-01-01,2015-01-01,1772036,430,1730,2,54.376,54.376,25.004,USD,1.00000
1002,0,2015-01-01,2015-01-01,1518349,660,955,4,315.04,286.6864,144.88,USD,1.00000
1002,1,2015-01-01,2015-01-01,1518349,660,62,7,135.75,135.75,62.43,USD,1.00000
1002,2,2015-01-01,2015-01-01,1518349,660,1050,3,499.2,434.304,229.568,USD,1.00000
1002,3,2015-01-01,2015-01-01,1518349,660,1608,1,65.994,58.73466,33.648,USD,1.00000
1003,0,2015-01-01,2015-01-01,1317097,510,85,3,74.9925,74.9925,34.485,USD,1.00000
1004,0,2015-01-01,2015-01-01,254117,80,128,2,114.72,113.5728,58.488,CAD,1.15831
1004,1,2015-01-01,2015-01-01,254117,80,2079,1,499.455,499.455,165.48,CAD,1.15831
1004,2,2015-01-01,2015-01-01,254117,80,1633,1,8.334,8.334,3.834,CAD,1.15831
1004,3,2015-01-01,2015-01-01,254117,80,450,1,2297.5,2067.75,761.2,CAD,1.15831
1005,0,2015-01-01,2015-01-01,1160597,390,1303,10,152,152,69.904,GBP,0.64155
1005,1,2015-01-01,2015-01-01,1160597,390,1705,2,4.816,4.816,2.212,GBP,0.64155
1006,0,2015-01-01,2015-01-01,1895118,480,173,1,71.92,63.2896,36.664,USD,1.00000
1006,1,2015-01-01,2015-01-01,1895118,480,998,5,316.8,310.464,145.68,USD,1.00000
1007,0,2015-01-01,2015-01-01,1008672,410,55,1,222,222,73.5525,GBP,0.64155
1007,1,2015-01-01,2015-01-01,1008672,410,1692,4,4.893,4.45263,2.492,GBP,0.64155
1007,2,2015-01-01,2015-01-01,1008672,410,95,1,50.55,50.0445,25.77,GBP,0.64155
1007,3,2015-01-01,2015-01-01,1008672,410,53,1,222,222,73.5525,GBP,0.64155
1007,4,2015-01-01,2015-01-01,1008672,410,1575,3,36.594,35.13024,16.83,GBP,0.64155
1007,5,2015-01-01,2015-01-01,1008672,410,1816,3,22.4,19.488,11.417,GBP,0.64155
1008,0,2015-01-01,2015-01-01,1576121,530,574,1,272.5,247.975,138.925,USD,1.00000
1008,1,2015-01-01,2015-01-01,1576121,530,2166,2,333.75,287.025,153.48,USD,1.00000
1008,2,2015-01-01,2015-01-01,1576121,530,1581,2,131.4,131.4,43.536,USD,1.00000
2000,0,2015-01-02,2015-01-02,1639738,530,1613,5,65.994,59.3946,33.648,USD,1.00000
2001,0,2015-01-02,2015-01-15,2085372,999999,2182,2,1237.5,1237.5,410.01,USD,1.00000
2002,0,2015-01-02,2015-01-02,1732602,510,1822,2,22.4,22.4,11.417,USD,1.00000
2002,1,2015-01-02,2015-01-02,1732602,510,49,5,149.9625,149.9625,68.9625,USD,1.00000
2003,0,2015-01-02,2015-01-02,728917,300,1674,2,4.893,4.893,2.492,EUR,0.83036
2003,1,2015-01-02,2015-01-02,728917,300,369,1,1747.5,1555.275,803.6,EUR,0.83036
2004,0,2015-01-02,2015-01-02,1724183,570,1654,2,155.994,155.994,51.684,USD,1.00000
2005,0,2015-01-02,2015-01-02,2054699,480,460,1,749.75,712.2625,382.25,USD,1.00000
3000,0,2015-01-03,2015-01-03,1793739,500,108,3,99.7425,97.74765,45.87,USD,1.00000
3000,1,2015-01-03,2015-01-03,1793739,500,1684,3,11.823,10.99539,3.92,USD,1.00000
3001,0,2015-01-03,2015-01-03,1048105,400,1653,3,65.994,60.71448,33.648,GBP,0.64768
3002,0,2015-01-03,2015-01-03,1035492,390,143,2,239.992,211.19296,122.352,GBP,0.64768
3002,1,2015-01-03,2015-01-03,1035492,390,2098,1,381,327.66,194.2425,GBP,0.64768
3002,2,2015-01-03,2015-01-03,1035492,390,130,1,160,139.2,81.576,GBP,0.64768
3003,0,2015-01-03,2015-01-03,787164,290,1164,1,288,288,146.832,EUR,0.83036
3004,0,2015-01-03,2015-01-03,758284,290,681,1,302.5,302.5,139.1,EUR,0.83036
3005,0,2015-01-03,2015-01-03,1265697,570,109,3,99.7425,99.7425,45.87,USD,1.00000
3005,1,2015-01-03,2015-01-03,1265697,570,327,2,223.2,196.416,113.792,USD,1.00000
3006,0,2015-01-03,2015-01-03,2003801,550,1874,2,1363.5,1199.88,627.0225,USD,1.00000
3007,0,2015-01-03,2015-01-03,741423,280,1642,3,34.728,34.728,15.972,EUR,0.83036
3007,1,2015-01-03,2015-01-03,741423,280,1591,4,7.596,6.91236,3.492,EUR,0.83036
3008,0,2015-01-03,2015-01-03,1614670,530,61,4,135.75,135.75,62.43,USD,1.00000
3008,1,2015-01-03,2015-01-03,1614670,530,181,6,103.2,93.912,47.456,USD,1.00000
3009,0,2015-01-03,2015-01-11,208950,999999,2163,2,97.425,91.5795,49.6725,CAD,1.16823
3009,1,2015-01-03,2015-01-11,208950,999999,553,4,1747.5,1747.5,803.6,CAD,1.16823
3009,2,2015-01-03,2015-01-11,208950,999999,1427,4,414,414,190.386,CAD,1.16823
3010,0,2015-01-03,2015-01-03,577093,200,1583,7,8.334,7.41726,3.834,EUR,0.83036
3010,1,2015-01-03,2015-01-03,577093,200,157,2,879.992,783.19288,404.68,EUR,0.83036
3010,2,2015-01-03,2015-01-03,577093,200,1045,3,940.8,931.392,311.712,EUR,0.83036
5000,0,2015-01-05,2015-01-05,241935,80,94,10,50.55,43.473,25.77,CAD,1.17843
5000,1,2015-01-05,2015-01-05,241935,80,1639,2,5.994,5.33466,3.054,CAD,1.17843
5001,0,2015-01-05,2015-01-16,290770,999999,1890,5,1199.25,1031.355,611.415,CAD,1.17843
5002,0,2015-01-05,2015-01-05,341312,80,55,1,222,217.56,73.5525,CAD,1.17843
5002,1,2015-01-05,2015-01-05,341312,80,1735,8,19.6,17.248,9.996,CAD,1.17843
5002,2,2015-01-05,2015-01-05,341312,80,1434,4,482.4,482.4,221.832,CAD,1.17843
5003,0,2015-01-05,2015-01-05,2065475,605,1634,4,5.994,5.45454,3.054,USD,1.00000
5003,1,2015-01-05,2015-01-05,2065475,605,176,2,101.52,88.3224,46.688,USD,1.00000
5003,2,2015-01-05,2015-01-05,2065475,605,992,2,464,464,153.728,USD,1.00000
5003,3,2015-01-05,2015-01-05,2065475,605,155,6,375.976,330.85888,172.896,USD,1.00000
6000,0,2015-01-06,2015-01-06,1509062,650,1656,4,95.994,85.43466,44.142,USD,1.00000
6000,1,2015-01-06,2015-01-06,1509062,650,1280,2,23.984,20.86608,12.224,USD,1.00000
6000,2,2015-01-06,2015-01-06,1509062,650,1764,4,32.76,29.1564,16.702,USD,1.00000
6000,3,2015-01-06,2015-01-06,1509062,650,1965,1,369.75,343.8675,170.0325,USD,1.00000
6001,0,2015-01-06,2015-01-06,1038705,410,1582,6,10.794,9.82254,4.962,GBP,0.65822
6001,1,2015-01-06,2015-01-06,1038705,410,177,2,45.52,45.52,23.208,GBP,0.65822
6002,0,2015-01-06,2015-01-06,1392024,560,1607,2,107.994,107.994,49.662,USD,1.00000
6003,0,2015-01-06,2015-01-06,1691713,560,1678,2,11.823,10.28601,3.92,USD,1.00000
6003,1,2015-01-06,2015-01-06,1691713,560,429,2,1499.75,1379.77,689.675,USD,1.00000
6004,0,2015-01-06,2015-01-06,1074024,370,1169,5,905.6,905.6,416.448,GBP,0.65822
6004,1,2015-01-06,2015-01-06,1074024,370,163,4,1273.76,1273.76,422.024,GBP,0.65822
6004,2,2015-01-06,2015-01-06,1074024,370,57,1,117,117,59.6475,GBP,0.65822
7000,0,2015-01-07,2015-01-07,737310,300,81,2,30.4125,27.9795,13.9875,EUR,0.84524
7001,0,2015-01-07,2015-01-07,510951,240,2488,1,26.982,26.17254,13.752,EUR,0.84524
7001,1,2015-01-07,2015-01-07,510951,240,227,1,511.2,460.08,235.08,EUR,0.84524
7001,2,2015-01-07,2015-01-07,510951,240,1712,7,49.091,46.14554,22.575,EUR,0.84524
7002,0,2015-01-07,2015-01-07,500243,200,613,3,1747.5,1747.5,803.6,EUR,0.84524
7003,0,2015-01-07,2015-01-07,1524797,580,2096,2,658.125,658.125,302.6475,USD,1.00000
7004,0,2015-01-07,2015-01-07,1629889,520,1690,6,11.893,11.29835,3.941,USD,1.00000
7004,1,2015-01-07,2015-01-07,1629889,520,47,6,112.4625,103.4655,57.3375,USD,1.00000
7004,2,2015-01-07,2015-01-07,1629889,520,972,4,206.4,206.4,94.912,USD,1.00000
7005,0,2015-01-07,2015-01-07,363407,80,1265,1,111.984,100.7856,57.088,CAD,1.18299
7005,1,2015-01-07,2015-01-07,363407,80,96,5,50.55,44.9895,25.77,CAD,1.18299
7005,2,2015-01-07,2015-01-07,363407,80,1667,3,3.85,3.388,1.96,CAD,1.18299
7006,0,2015-01-07,2015-01-07,1349132,570,1587,1,10.794,10.794,4.962,USD,1.00000
7006,1,2015-01-07,2015-01-07,1349132,570,969,2,315.04,277.2352,144.88,USD,1.00000
7007,0,2015-01-07,2015-01-07,274369,90,2508,2,8.532,8.532,4.356,CAD,1.18299
7007,1,2015-01-07,2015-01-07,274369,90,1556,1,504,458.64,231.768,CAD,1.18299
7007,2,2015-01-07,2015-01-07,274369,90,1168,1,960,854.4,441.472,CAD,1.18299
8000,0,2015-01-08,2015-01-08,591707,240,1632,1,10.794,10.794,4.962,EUR,0.84976
8000,1,2015-01-08,2015-01-08,591707,240,110,3,99.7425,88.770825,45.87,EUR,0.84976
8000,2,2015-01-08,2015-01-08,591707,240,1045,1,940.8,903.168,311.712,EUR,0.84976
8001,0,2015-01-08,2015-01-08,1963405,660,2014,2,149.9925,139.493025,68.9775,USD,1.00000
8001,1,2015-01-08,2015-01-08,1963405,660,1684,8,11.823,11.823,3.92,USD,1.00000
8001,2,2015-01-08,2015-01-08,1963405,660,1314,2,328,295.2,150.832,USD,1.00000
8001,3,2015-01-08,2015-01-08,1963405,660,1048,2,683.2,608.048,226.352,USD,1.00000
8001,4,2015-01-08,2015-01-08,1963405,660,1637,6,10.794,9.49872,4.962,USD,1.00000
8001,5,2015-01-08,2015-01-08,1963405,660,1592,2,10.794,9.60666,4.962,USD,1.00000
8002,0,2015-01-08,2015-01-08,1025718,360,142,3,239.992,215.9928,122.352,GBP,0.66375
