id_gastos;id_periodo;categoria;item;valor
1;16;Outros;Taxas;1169.91
2;11;Educação;Livros;414.31
3;21;Alimentação;Supermercado;362.78
4;2;Transporte;Combustível;445.64
5;33;Lazer;Viagem;952.8
6;33;Educação;Livros;1106.31
7;17;Alimentação;Delivery;144.53
8;4;Outros;Outros;379.25
9;17;Moradia;Aluguel;76.96
10;27;Transporte;Manutenção;1281.99
11;7;Saúde;Academia;553.02
12;16;Saúde;Academia;725.33
13;3;Moradia;Aluguel;673.64
14;13;Moradia;Aluguel;209.83
15;34;Moradia;Aluguel;46.91
16;20;Saúde;Consulta;1148.79
17;11;Outros;Presentes;627.88
18;35;Moradia;Energia;1197.92
19;16;Educação;Cursos;225.48
20;29;Transporte;Pedágio;1035.72
21;27;Alimentação;Supermercado;1476.55
22;3;Lazer;Cinema;1038.72
23;9;Transporte;Ônibus;1170.26
24;26;Saúde;Consulta;1246.38
25;14;Educação;Cursos;736.34
26;28;Saúde;Academia;38.24
27;20;Moradia;Água;412.73
28;26;Transporte;Combustível;47.42
29;25;Transporte;Manutenção;787.11
30;32;Educação;Material;399.29
31;3;Outros;Outros;939.18
32;26;Alimentação;Supermercado;429.71
33;4;Lazer;Cinema;129.76
34;4;Educação;Cursos;1115.86
35;20;Saúde;Farmácia;1188.35
36;25;Lazer;Cinema;1300.08
37;33;Outros;Outros;1000.85
38;13;Alimentação;Delivery;141.24
39;30;Outros;Outros;930.9
40;23;Outros;Outros;810.43
41;34;Lazer;Streaming;258.52
42;35;Outros;Outros;589.91
43;27;Educação;Livros;156.87
44;8;Outros;Outros;1011.69
45;19;Lazer;Streaming;1080.63
46;2;Alimentação;Delivery;449.4
47;8;Moradia;Aluguel;391.82
48;34;Lazer;Viagem;1012.86
49;31;Educação;Livros;815.45
50;2;Saúde;Academia;774.47
51;13;Outros;Presentes;1236.18
52;28;Saúde;Academia;344.67
53;28;Lazer;Streaming;1436.84
54;6;Transporte;Pedágio;673.63
55;6;Alimentação;Café;76.79
56;2;Alimentação;Supermercado;1274.13
57;30;Transporte;Manutenção;1493.28
58;32;Outros;Presentes;831.33
59;36;Outros;Taxas;412.31
60;24;Moradia;Água;875.48
61;32;Outros;Presentes;513.45
62;24;Moradia;Energia;139.52
63;20;Transporte;Ônibus;1498.68
64;10;Outros;Taxas;1195.98
65;11;Saúde;Farmácia;1385.34
66;27;Moradia;Água;747.08
67;26;Saúde;Consulta;212.15
68;11;Saúde;Farmácia;348.13
69;7;Moradia;Aluguel;1445.84
70;16;Outros;Taxas;1430.21
71;22;Alimentação;Restaurante;1103.68
72;4;Educação;Material;299.26
73;4;Educação;Material;103.54
74;32;Moradia;Internet;82.54
75;28;Lazer;Viagem;32.22
76;7;Educação;Cursos;738.31
77;19;Moradia;Energia;716.76
78;11;Transporte;Pedágio;939.9
79;28;Moradia;Energia;675.95
80;26;Moradia;Água;138.12
81;36;Lazer;Streaming;64.42
82;21;Lazer;Cinema;289.6
83;22;Outros;Taxas;1462.74
84;35;Educação;Livros;61.29
85;3;Outros;Presentes;233.78
86;32;Transporte;Manutenção;349.71
87;28;Outros;Taxas;616.8
88;19;Saúde;Farmácia;901.88
89;6;Transporte;Ônibus;421.47
90;16;Outros;Taxas;1106.2
91;6;Saúde;Consulta;1105.55
92;10;Saúde;Consulta;1110.8
93;8;Transporte;Ônibus;664.08
94;22;Alimentação;Café;640.68
95;18;Educação;Cursos;738.01
96;33;Moradia;Internet;1072.63
97;1;Alimentação;Supermercado;952.75
98;18;Educação;Livros;641.07
99;28;Outros;Outros;862.8
100;1;Alimentação;Café;582.18
101;4;Transporte;Combustível;492.71
102;27;Outros;Outros;66.03
103;13;Educação;Livros;1391.78
104;36;Educação;Cursos;138.23
105;9;Lazer;Cinema;742.61
106;17;Alimentação;Café;357.29
107;36;Moradia;Água;199.8
108;30;Outros;Taxas;837.14
109;6;Outros;Taxas;145.41
110;8;Saúde;Consulta;836.17
111;20;Transporte;Ônibus;843.42
112;36;Alimentação;Restaurante;1207.15
113;26;Educação;Livros;657.41
114;31;Alimentação;Restaurante;222.88
115;18;Outros;Taxas;585.83
116;2;Alimentação;Café;759.92
117;32;Transporte;Ônibus;1055.69
118;11;Saúde;Academia;475.52
119;9;Saúde;Academia;558.25
120;1;Lazer;Show;908.93
121;1;Educação;Material;404.45
122;6;Alimentação;Supermercado;1091.49
123;20;Moradia;Internet;442.95
124;25;Alimentação;Restaurante;1111.35
125;3;Alimentação;Delivery;1189.49
126;32;Outros;Presentes;466.57
127;30;Transporte;Combustível;1475.58
128;2;Transporte;Pedágio;800.02
129;3;Transporte;Combustível;691.81
130;14;Alimentação;Delivery;722.24
131;9;Transporte;Pedágio;1423.61
132;14;Outros;Taxas;1210.89
133;28;Alimentação;Supermercado;136.49
134;25;Moradia;Água;1271.59
135;1;Alimentação;Café;1292.07
136;14;Saúde;Academia;787.26
137;25;Lazer;Cinema;795.84
138;14;Lazer;Viagem;456.45
139;4;Saúde;Farmácia;532.33
140;21;Moradia;Aluguel;1373.1
141;3;Educação;Material;350.13
142;18;Moradia;Água;1312.74
143;31;Outros;Taxas;53.83
144;18;Educação;Material;1400.12
145;16;Lazer;Show;237.51
146;24;Saúde;Consulta;200.62
147;24;Moradia;Água;1215.03
148;14;Saúde;Consulta;1204.29
149;36;Transporte;Combustível;217.32
150;6;Lazer;Streaming;1425.53
151;20;Transporte;Combustível;876.46
152;11;Alimentação;Delivery;971.02
153;5;Outros;Presentes;1493.61
154;19;Outros;Taxas;1421.95
155;14;Lazer;Streaming;672.32
156;4;Moradia;Aluguel;742.87
157;18;Transporte;Manutenção;783.49
158;15;Educação;Cursos;616.69
159;15;Alimentação;Delivery;637.17
160;13;Saúde;Farmácia;1296.96
161;24;Alimentação;Café;594.83
162;30;Alimentação;Supermercado;1144.08
163;6;Outros;Presentes;571.54
164;25;Lazer;Viagem;669.88
165;24;Saúde;Academia;124.59
166;27;Educação;Livros;654.67
167;7;Lazer;Show;1239.18
168;16;Outros;Outros;946.02
169;7;Moradia;Internet;70.71
170;23;Outros;Presentes;1098.65
171;17;Alimentação;Supermercado;1127.77
172;21;Educação;Livros;1231.32
173;29;Moradia;Internet;1429.46
174;26;Outros;Taxas;1370.55
175;26;Educação;Material;715.93
176;30;Transporte;Ônibus;1254.23
177;24;Educação;Livros;1115.51
178;32;Educação;Material;1202.37
179;26;Transporte;Manutenção;966.16
180;31;Moradia;Energia;830.21
181;17;Saúde;Academia;1219.15
182;32;Alimentação;Café;189.49
183;31;Moradia;Internet;1331.72
184;26;Saúde;Consulta;300.44
185;10;Saúde;Academia;277.77
186;25;Transporte;Ônibus;1040.82
187;22;Alimentação;Supermercado;317.87
188;26;Transporte;Combustível;788.56
189;19;Moradia;Energia;635.21
190;31;Outros;Presentes;561.9
191;34;Saúde;Consulta;945.15
192;9;Outros;Taxas;1440.93
193;2;Saúde;Consulta;1339.94
194;15;Educação;Cursos;319.29
195;26;Moradia;Aluguel;850.71
196;17;Outros;Outros;331.43
197;25;Saúde;Farmácia;1481.37
198;35;Alimentação;Delivery;1391.23
199;2;Educação;Livros;570.69
200;35;Saúde;Academia;1144.94
201;32;Moradia;Energia;1224.97
