id_receita;id_periodo;descricao_item;valor
1;8;Freelance;2915.25
2;6;Freelance;8076.47
3;9;Venda;606.47
4;9;Reembolso;1440.64
5;4;Investimento;9058.48
6;24;Venda;6494.32
7;8;Reembolso;2472.43
8;5;Venda;7539.13
9;12;Freelance;2254.65
10;6;Venda;5503.48
11;22;Venda;9117.32
12;21;Venda;721.87
13;27;Salário;8031.48
14;18;Investimento;4743.56
15;34;Venda;2824.17
16;1;Salário;6074.1
17;33;Freelance;1986.14
18;28;Freelance;5974.2
19;17;Freelance;8007.06
20;35;Reembolso;8195.01
21;12;Salário;2095.95
22;35;Venda;9447.25
23;25;Reembolso;1660.99
24;19;Salário;3775.03
25;26;Salário;7447.63
26;7;Investimento;9600.23
27;32;Salário;7131.29
28;28;Reembolso;2386.12
29;25;Salário;8733.29
30;16;Salário;6229.95
31;16;Freelance;5759.06
32;9;Salário;5591.95
33;20;Freelance;6500.46
34;17;Reembolso;6285.87
35;19;Reembolso;5450.73
36;10;Venda;6525.29
37;24;Investimento;9879.55
38;24;Salário;8224.91
39;4;Freelance;5686.4
40;30;Salário;904.2
41;36;Reembolso;3668.67
42;31;Freelance;8247.4
43;31;Venda;1184.12
44;16;Salário;6731.69
45;9;Investimento;986.92
46;22;Investimento;587.89
47;10;Investimento;3749.18
48;10;Investimento;5183.07
49;6;Venda;3804.64
50;18;Freelance;1199.68
51;12;Salário;5794.72
52;29;Salário;7939.86
53;1;Salário;9614.83
54;26;Freelance;7304.51
55;8;Salário;5576.12
56;6;Reembolso;4881.64
57;5;Reembolso;7700.05
58;10;Investimento;8139.51
59;23;Salário;5856.25
60;9;Freelance;1084.32
61;27;Venda;8416.09
62;21;Reembolso;8169.53
63;35;Salário;8856.61
64;27;Venda;3866.36
65;32;Venda;435.25
66;19;Freelance;2910.52
67;25;Venda;7849.44
68;2;Freelance;7185.66
69;19;Freelance;2151.55
70;12;Reembolso;433.84
71;19;Salário;7179.98
72;11;Investimento;7183.98
73;35;Salário;7814.85
74;26;Reembolso;2970.84
75;33;Venda;8795.29
76;22;Reembolso;9173.72
77;10;Freelance;4497.04
78;29;Freelance;3272.89
79;26;Reembolso;1477.65
80;25;Salário;3341.73
81;2;Investimento;6340.54
82;10;Investimento;5700.7
83;21;Salário;9176.82
84;12;Reembolso;3126.87
85;19;Freelance;838.21
86;36;Reembolso;673.67
87;28;Reembolso;5088.14
88;33;Salário;8584.16
89;16;Freelance;3821.42
90;36;Salário;4838.74
91;26;Freelance;2286.77
92;18;Freelance;7496.81
93;20;Investimento;1014.13
94;7;Investimento;2578.84
95;10;Salário;6457.1
96;13;Investimento;2225.85
97;13;Salário;2861.28
98;5;Venda;2052.47
99;13;Freelance;5482.95
100;2;Venda;6611.38
101;17;Venda;6366.83
102;3;Venda;6399.99
103;31;Venda;7817.41
104;27;Venda;1474.66
105;22;Salário;4841.21
106;9;Investimento;2131.17
107;26;Freelance;4437.87
108;28;Venda;7228.76
109;35;Investimento;5756.28
110;36;Freelance;8247.11
111;32;Investimento;6356.93
112;32;Freelance;8314.11
113;18;Venda;1493.38
114;23;Reembolso;6892.83
115;12;Venda;2205.03
116;14;Reembolso;4194.52
117;5;Investimento;4078.76
118;18;Investimento;3271.76
119;24;Freelance;2091.22
120;3;Investimento;5663.46
121;18;Investimento;1926.0
122;18;Salário;8327.86
123;27;Reembolso;1913.91
124;23;Salário;4417.93
125;29;Salário;6648.26
126;7;Salário;583.3
127;26;Reembolso;1424.57
128;34;Venda;7540.0
129;9;Freelance;3420.08
130;5;Investimento;8756.19
131;28;Venda;693.86
132;19;Freelance;4521.48
133;22;Salário;6165.12
134;31;Freelance;3087.64
135;19;Venda;4547.23
136;8;Salário;5575.07
137;4;Salário;543.97
138;2;Venda;1970.87
139;6;Venda;6885.23
140;24;Freelance;993.88
141;4;Freelance;5561.57
142;34;Freelance;3840.7
143;8;Salário;806.93
144;18;Reembolso;8778.57
145;32;Reembolso;9903.16
146;6;Salário;4109.41
147;5;Reembolso;9180.17
148;17;Venda;6198.45
149;7;Reembolso;1194.32
150;12;Salário;2049.82
151;34;Freelance;4396.78
152;17;Investimento;7126.17
153;19;Freelance;4513.95
154;30;Freelance;7881.38
155;35;Investimento;9084.91
156;30;Investimento;8041.92
157;10;Freelance;5559.74
158;18;Salário;211.87
159;16;Investimento;8310.11
160;7;Investimento;5577.08
161;29;Reembolso;3093.77
162;14;Venda;459.1
163;12;Investimento;3100.47
164;30;Investimento;7869.27
165;9;Freelance;8829.73
166;26;Investimento;4607.12
167;6;Freelance;5341.74
168;17;Salário;2454.7
169;25;Investimento;4349.86
170;4;Investimento;3307.18
171;4;Reembolso;3027.95
172;28;Salário;5794.37
173;17;Salário;209.1
174;6;Salário;7175.6
175;34;Reembolso;5319.14
176;15;Reembolso;5785.8
177;25;Investimento;222.46
178;9;Investimento;6556.63
179;29;Venda;9354.27
180;12;Venda;5977.82
181;21;Reembolso;4723.18
182;1;Reembolso;7191.88
183;28;Investimento;5093.77
184;27;Reembolso;2995.63
185;14;Freelance;3755.42
186;11;Investimento;294.21
187;35;Investimento;6681.51
188;12;Freelance;2109.01
189;3;Investimento;2235.56
190;20;Salário;1932.91
191;36;Freelance;8272.25
192;11;Investimento;3839.48
193;17;Reembolso;1319.65
194;25;Freelance;8790.37
195;24;Venda;9711.65
196;28;Reembolso;2405.59
197;11;Salário;5459.88
198;2;Salário;8802.47
199;36;Salário;4041.74
200;13;Salário;9236.62
201;22;Freelance;1996.68
202;36;Venda;3145.93
203;22;Salário;8029.3
204;27;Venda;8891.64
205;32;Freelance;9004.16
206;7;Investimento;484.83
207;18;Investimento;1295.86
208;24;Reembolso;1823.87
209;23;Reembolso;5130.56
210;4;Salário;4068.8
211;12;Venda;5129.7
212;6;Venda;4096.35
213;16;Venda;3455.11
214;16;Freelance;969.9
215;15;Reembolso;6727.66
216;7;Venda;5999.15
217;8;Venda;1527.64
218;20;Freelance;1451.76
219;34;Freelance;3892.26
220;2;Investimento;7184.4
221;9;Investimento;7727.65
222;24;Venda;2057.23
223;29;Salário;469.59
224;5;Investimento;1168.11
225;22;Reembolso;1138.53
226;15;Salário;7180.58
227;27;Freelance;1338.94
228;10;Salário;8449.58
229;16;Salário;6477.55
230;16;Salário;6485.61
231;13;Salário;4444.81
232;21;Investimento;8024.65
233;28;Freelance;1730.51
234;8;Reembolso;3929.48
235;22;Reembolso;203.47
236;5;Venda;9934.88
237;19;Venda;5509.45
238;3;Salário;2987.59
239;12;Salário;3967.11
240;10;Investimento;1004.48
241;11;Reembolso;1147.9
242;22;Investimento;6546.66
243;18;Salário;8763.94
244;20;Salário;6438.22
245;36;Reembolso;5784.01
246;20;Investimento;9412.63
247;29;Salário;1437.17
248;2;Freelance;696.2
249;14;Reembolso;533.84
250;17;Investimento;4883.01
251;34;Salário;7780.21
252;17;Venda;5964.55
253;16;Reembolso;1342.39
