Produto,Categoria,Data da venda,Loja,Cidade,Quantidade,Valor da venda
Impressora,Periféricos,2025-05-10,Loja Barra,Rio de Janeiro,3,11728.41
Mouse,Acessórios,2023-05-02,Loja Duque,Duque de Caxias,3,1634.63
Tablet,Eletrônicos,2025-05-21,Loja Nova Iguaçu,Nova Iguaçu,3,455.68
Smartphone,Eletrônicos,2025-03-16,Loja Nova Iguaçu,Nova Iguaçu,2,1900.07
Mouse,Acessórios,2024-04-04,Loja Centro,Rio de Janeiro,2,5295.09
Smartwatch,Eletrônicos,2024-04-19,Loja Petrópolis,Petrópolis,3,6087.94
Smartwatch,Eletrônicos,2025-04-11,Loja Sul,Rio de Janeiro,1,279.93
Headset,Acessórios,2023-01-21,Loja Duque,Duque de Caxias,1,372.01
Teclado,Acessórios,2023-11-12,Loja Petrópolis,Petrópolis,2,3915.62
Mesa Escritório,Móveis,2025-06-16,Loja Niterói,Niterói,4,4972.3
Smartwatch,Eletrônicos,2024-05-23,Loja Duque,Duque de Caxias,3,13653.41
Teclado,Acessórios,2025-10-22,Loja Norte,Rio de Janeiro,2,5720.23
Roteador,Redes,2024-12-30,Loja Norte,Rio de Janeiro,4,18802.08
HD Externo,Armazenamento,2023-09-27,Loja Barra,Rio de Janeiro,4,1095.5
Webcam,Periféricos,2024-12-20,Loja Niterói,Niterói,5,6965.89
Mouse,Acessórios,2023-08-05,Loja Nova Iguaçu,Nova Iguaçu,4,12219.28
Roteador,Redes,2023-01-15,Loja Petrópolis,Petrópolis,5,2095.13
Impressora,Periféricos,2024-10-09,Loja Petrópolis,Petrópolis,3,3102.81
Webcam,Periféricos,2024-02-23,Loja Sul,Rio de Janeiro,1,3049.5
Mesa Escritório,Móveis,2025-10-14,Loja Duque,Duque de Caxias,1,4579.05
Cadeira Gamer,Móveis,2025-02-18,Loja Nova Iguaçu,Nova Iguaçu,2,1044.56
Impressora,Periféricos,2025-03-15,Loja Duque,Duque de Caxias,3,8930.77
Monitor,Eletrônicos,2025-08-18,Loja Sul,Rio de Janeiro,3,1925.97
HD Externo,Armazenamento,2025-10-25,Loja Sul,Rio de Janeiro,2,2436.25
HD Externo,Armazenamento,2025-03-05,Loja Duque,Duque de Caxias,1,3567.78
Mesa Escritório,Móveis,2025-06-10,Loja Teresópolis,Teresópolis,5,5242.55
Impressora,Periféricos,2024-07-17,Loja Centro,Rio de Janeiro,5,12837.12
HD Externo,Armazenamento,2023-08-19,Loja Niterói,Niterói,5,13611.07
Roteador,Redes,2024-06-08,Loja Barra,Rio de Janeiro,3,10467.56
Smartwatch,Eletrônicos,2024-11-12,Loja Norte,Rio de Janeiro,5,7566.93
Mouse,Acessórios,2025-03-06,Loja São Gonçalo,São Gonçalo,4,4525.12
Teclado,Acessórios,2023-07-09,Loja Teresópolis,Teresópolis,1,1397.05
Tablet,Eletrônicos,2024-09-19,Loja Petrópolis,Petrópolis,5,21553.08
Impressora,Periféricos,2024-10-10,Loja São Gonçalo,São Gonçalo,5,17387.79
Mesa Escritório,Móveis,2024-03-17,Loja Nova Iguaçu,Nova Iguaçu,4,5088.15
Impressora,Periféricos,2025-08-09,Loja Norte,Rio de Janeiro,1,1370.57
Smartphone,Eletrônicos,2023-08-08,Loja Norte,Rio de Janeiro,5,8790.51
Notebook,Eletrônicos,2025-12-12,Loja Sul,Rio de Janeiro,4,9066.11
Monitor,Eletrônicos,2025-04-15,Loja Duque,Duque de Caxias,3,5639.37
Notebook,Eletrônicos,2023-10-07,Loja São Gonçalo,São Gonçalo,5,15899.57
Monitor,Eletrônicos,2025-01-21,Loja São Gonçalo,São Gonçalo,1,796.05
Tablet,Eletrônicos,2024-04-08,Loja São Gonçalo,São Gonçalo,5,21494.38
Smartwatch,Eletrônicos,2024-02-07,Loja Barra,Rio de Janeiro,2,5169.72
Headset,Acessórios,2025-05-13,Loja Barra,Rio de Janeiro,4,18822.36
Webcam,Periféricos,2023-12-04,Loja Duque,Duque de Caxias,1,3394.67
Cadeira Gamer,Móveis,2023-05-31,Loja Petrópolis,Petrópolis,2,2653.62
Smartwatch,Eletrônicos,2024-09-15,Loja Teresópolis,Teresópolis,1,2607.35
Notebook,Eletrônicos,2025-06-15,Loja Norte,Rio de Janeiro,4,11254.21
Tablet,Eletrônicos,2023-01-09,Loja Duque,Duque de Caxias,1,1778.59
Headset,Acessórios,2023-06-01,Loja Barra,Rio de Janeiro,1,3228.06
Tablet,Eletrônicos,2023-04-14,Loja Centro,Rio de Janeiro,4,11697.6
HD Externo,Armazenamento,2023-04-09,Loja Petrópolis,Petrópolis,1,75.05
HD Externo,Armazenamento,2025-04-01,Loja Norte,Rio de Janeiro,3,9831.62
Cadeira Gamer,Móveis,2023-06-10,Loja Barra,Rio de Janeiro,4,4897.53
Mouse,Acessórios,2024-02-05,Loja Barra,Rio de Janeiro,1,2735.57
Tablet,Eletrônicos,2024-04-14,Loja Sul,Rio de Janeiro,5,12296.87
Webcam,Periféricos,2025-03-08,Loja Norte,Rio de Janeiro,1,2905.67
Notebook,Eletrônicos,2025-10-16,Loja Niterói,Niterói,5,12605.04
Teclado,Acessórios,2025-12-08,Loja Sul,Rio de Janeiro,1,4973.03
HD Externo,Armazenamento,2024-06-01,Loja Niterói,Niterói,3,11253.62
Mouse,Acessórios,2024-05-11,Loja Nova Iguaçu,Nova Iguaçu,5,14414.24
Smartwatch,Eletrônicos,2023-07-10,Loja Centro,Rio de Janeiro,5,9781.17
Impressora,Periféricos,2023-05-08,Loja Centro,Rio de Janeiro,2,5612.33
Pendrive,Armazenamento,2024-07-23,Loja São Gonçalo,São Gonçalo,3,8615.41
Webcam,Periféricos,2025-05-03,Loja Norte,Rio de Janeiro,2,2616.22
Mesa Escritório,Móveis,2025-02-23,Loja Norte,Rio de Janeiro,1,726.28
Monitor,Eletrônicos,2025-01-28,Loja Duque,Duque de Caxias,2,8120.12
Cadeira Gamer,Móveis,2024-06-08,Loja Nova Iguaçu,Nova Iguaçu,4,10324.58
Cadeira Gamer,Móveis,2024-11-15,Loja Barra,Rio de Janeiro,4,13069.29
HD Externo,Armazenamento,2024-04-15,Loja Sul,Rio de Janeiro,4,11661.52
Impressora,Periféricos,2023-02-20,Loja São Gonçalo,São Gonçalo,1,817.46
HD Externo,Armazenamento,2023-11-10,Loja São Gonçalo,São Gonçalo,2,401.95
Teclado,Acessórios,2025-04-17,Loja Teresópolis,Teresópolis,3,2036.85
Notebook,Eletrônicos,2025-12-12,Loja Nova Iguaçu,Nova Iguaçu,4,4473.26
Mouse,Acessórios,2025-02-12,Loja Duque,Duque de Caxias,5,5060.91
HD Externo,Armazenamento,2025-04-02,Loja Sul,Rio de Janeiro,4,2828.36
Smartphone,Eletrônicos,2024-10-18,Loja Teresópolis,Teresópolis,3,6668.73
Impressora,Periféricos,2025-01-10,Loja Teresópolis,Teresópolis,2,9630.22
Impressora,Periféricos,2025-10-09,Loja Petrópolis,Petrópolis,1,907.81
Notebook,Eletrônicos,2024-07-13,Loja Norte,Rio de Janeiro,1,3317.98
Mouse,Acessórios,2024-12-04,Loja Centro,Rio de Janeiro,5,15390.09
Impressora,Periféricos,2023-06-03,Loja Sul,Rio de Janeiro,3,11404.01
Cadeira Gamer,Móveis,2025-12-06,Loja Niterói,Niterói,1,1591.5
HD Externo,Armazenamento,2024-03-28,Loja Barra,Rio de Janeiro,4,539.79
Mesa Escritório,Móveis,2024-07-04,Loja Niterói,Niterói,4,3629.4
HD Externo,Armazenamento,2023-01-23,Loja Niterói,Niterói,2,6196.92
Mouse,Acessórios,2025-03-12,Loja Barra,Rio de Janeiro,4,7617.33
Mesa Escritório,Móveis,2024-03-17,Loja Sul,Rio de Janeiro,1,2719.92
Roteador,Redes,2025-11-05,Loja Barra,Rio de Janeiro,2,362.46
Tablet,Eletrônicos,2024-11-20,Loja Barra,Rio de Janeiro,3,9702.83
Notebook,Eletrônicos,2025-12-02,Loja Sul,Rio de Janeiro,4,5624.43
Smartwatch,Eletrônicos,2024-05-13,Loja Norte,Rio de Janeiro,2,6861.77
Notebook,Eletrônicos,2025-02-14,Loja Teresópolis,Teresópolis,5,21160.66
Mesa Escritório,Móveis,2023-04-25,Loja Norte,Rio de Janeiro,1,2505.39
Mesa Escritório,Móveis,2024-02-17,Loja Niterói,Niterói,4,8475.33
Roteador,Redes,2024-11-06,Loja Petrópolis,Petrópolis,2,4292.36
Webcam,Periféricos,2025-09-04,Loja Sul,Rio de Janeiro,1,3893.24
Webcam,Periféricos,2023-02-06,Loja Duque,Duque de Caxias,4,8694.08
Roteador,Redes,2023-08-05,Loja Duque,Duque de Caxias,3,1681.39
Notebook,Eletrônicos,2023-03-03,Loja Centro,Rio de Janeiro,4,16563.86
Monitor,Eletrônicos,2023-06-26,Loja Sul,Rio de Janeiro,4,414.59
Cadeira Gamer,Móveis,2023-03-17,Loja Sul,Rio de Janeiro,1,1630.6
HD Externo,Armazenamento,2025-04-30,Loja Barra,Rio de Janeiro,2,6355.19
Mouse,Acessórios,2024-01-31,Loja Niterói,Niterói,1,2790.83
Mouse,Acessórios,2024-07-22,Loja Barra,Rio de Janeiro,5,23290.5
Mesa Escritório,Móveis,2024-02-02,Loja Duque,Duque de Caxias,2,4471.15
Impressora,Periféricos,2025-01-20,Loja Norte,Rio de Janeiro,4,13822.99
Mesa Escritório,Móveis,2023-06-19,Loja Centro,Rio de Janeiro,1,4118.21
Mesa Escritório,Móveis,2023-01-29,Loja Norte,Rio de Janeiro,5,6022.39
Webcam,Periféricos,2024-05-14,Loja Centro,Rio de Janeiro,1,4738.88
Cadeira Gamer,Móveis,2025-12-29,Loja Barra,Rio de Janeiro,4,1853.31
Roteador,Redes,2023-06-16,Loja São Gonçalo,São Gonçalo,3,3843.55
Headset,Acessórios,2023-06-22,Loja Duque,Duque de Caxias,5,10278.75
HD Externo,Armazenamento,2024-04-20,Loja Teresópolis,Teresópolis,5,20614.06
Impressora,Periféricos,2024-01-22,Loja Centro,Rio de Janeiro,5,6128.29
Cadeira Gamer,Móveis,2025-04-03,Loja Centro,Rio de Janeiro,1,1156.8
Monitor,Eletrônicos,2024-11-15,Loja Teresópolis,Teresópolis,5,1318.21
Mouse,Acessórios,2023-07-22,Loja São Gonçalo,São Gonçalo,4,1661.17
Headset,Acessórios,2023-02-16,Loja Sul,Rio de Janeiro,1,1123.21
Pendrive,Armazenamento,2024-10-17,Loja Centro,Rio de Janeiro,1,4580.51
Mesa Escritório,Móveis,2023-12-24,Loja Nova Iguaçu,Nova Iguaçu,4,2313.77
Mouse,Acessórios,2024-11-06,Loja Nova Iguaçu,Nova Iguaçu,2,3943.86
Smartwatch,Eletrônicos,2024-06-23,Loja Norte,Rio de Janeiro,4,7334.83
Teclado,Acessórios,2025-08-16,Loja São Gonçalo,São Gonçalo,1,1434.83
Mouse,Acessórios,2024-04-05,Loja Barra,Rio de Janeiro,4,5564.96
Roteador,Redes,2024-01-25,Loja Sul,Rio de Janeiro,2,4224.73
Mouse,Acessórios,2024-03-25,Loja Petrópolis,Petrópolis,2,9334.01
Smartphone,Eletrônicos,2025-10-12,Loja Niterói,Niterói,1,3899.13
Smartphone,Eletrônicos,2025-05-02,Loja Centro,Rio de Janeiro,2,3870.82
Monitor,Eletrônicos,2023-04-15,Loja Centro,Rio de Janeiro,3,2137.7
Mouse,Acessórios,2024-06-01,Loja Duque,Duque de Caxias,4,16295.44
Pendrive,Armazenamento,2025-02-09,Loja Niterói,Niterói,5,14732.45
Mouse,Acessórios,2024-12-14,Loja Niterói,Niterói,2,3840.72
Mouse,Acessórios,2023-01-01,Loja Petrópolis,Petrópolis,3,4229.77
Teclado,Acessórios,2025-05-30,Loja Centro,Rio de Janeiro,2,3645.81
Webcam,Periféricos,2023-06-03,Loja Duque,Duque de Caxias,2,5251.05
Monitor,Eletrônicos,2023-09-25,Loja Sul,Rio de Janeiro,1,2781.94
Mouse,Acessórios,2024-02-05,Loja Petrópolis,Petrópolis,5,15602.66
Smartphone,Eletrônicos,2023-04-13,Loja Sul,Rio de Janeiro,4,19613.16
Smartphone,Eletrônicos,2025-03-08,Loja Norte,Rio de Janeiro,3,1501.38
Smartphone,Eletrônicos,2023-09-06,Loja Barra,Rio de Janeiro,1,3929.08
Smartwatch,Eletrônicos,2023-03-22,Loja Duque,Duque de Caxias,5,19962.68
