nome_liga_padronizado;pais_liga;genero_liga;nome_liga;nome_clube
Chinese Super League;China;Masculino;CSL;Zhejiang Pro
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Zagłębie Lubin
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Zagłębie Lubin
Superliga;Suiça;Masculino;CSSL;Yverdon Sport FC
EFL League One;Inglaterra;Masculino;League One;Wycombe Wanderers
EFL League One;Inglaterra;Masculino;EFL League One;Wycombe
Chinese Super League;China;Masculino;CSL;Wuhan Three Towns
Bundesliga;Alemanha;Masculino;Bundesliga;WSG Tirol
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;WSG Tirol
A-League;Australia;Masculino;A-League;WS Wanderers
EFL League Two;Inglaterra;Masculino;League Two;Wrexham
EFL League One;Inglaterra;Masculino;EFL League One;Wrexham
Premier League;Inglaterra;Masculino;Premier League;Wolves
Premier League;Inglaterra;Masculino;Premier League;Wolverhampton Wanderers
Ö. Bundesliga;Austria;Masculino;Ö. Bundesliga;Wolfsberger AC
Bundesliga;Alemanha;Masculino;Bundesliga;Wolfsberger AC
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Wilstermann
Liga da Bolivia;Bolivia;Masculino;División de Fútbol Profesional;Wilstermann
Eredivisie;Holanda;Masculino;Eredivisie;Willem II
EFL League One;Inglaterra;Masculino;EFL League One;Wigan Athletic
EFL League One;Inglaterra;Masculino;League One;Wigan Athletic
Ekstraklasa;Polonia;Masculino;PKO BP Ekstraklasa;Widzew Łódź
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Widzew Łódź
MLS;Estados Unidos;Masculino;MLS;Whitecaps FC
A-League;Australia;Masculino;A-League;Western United
A-League;Australia;Masculino;A-League Men;Western United
A-League;Australia;Masculino;A-League Men;Western Sydney Wanderers
Premier League;Inglaterra;Masculino;Premier League;West Ham United
Superliga Feminina;Inglaterra;Feminino;Barclays WSL;West Ham
Premier League;Inglaterra;Masculino;Premier League;West Ham
EFL Championship;Inglaterra;Masculino;Championship;West Bromwich Albion
EFL Championship;Inglaterra;Masculino;EFL Championship;West Brom
Bundesliga;Alemanha;Masculino;Bundesliga;Werder Bremen
A-League;Australia;Masculino;A-League Men;Wellington Phoenix
A-League;Australia;Masculino;A-League;Well. Phoenix
Bundesliga 2;Alemanha;Masculino;2. Bundesliga;Wehen Wiesbaden
3 Liga;Alemanha;Masculino;3. Liga;Wehen Wiesbaden
EFL Championship;Inglaterra;Masculino;EFL Championship;Watford
EFL Championship;Inglaterra;Masculino;Championship;Watford
SSE Airtricity League Premier Division;Irlanda;Masculino;SSE Airtricity PD;Waterford
NWSL;Estados Unidos;Feminino;NWSL;Washington Spirit
Ekstraklasa;Polonia;Masculino;Ekstraklasa;Warta Poznań
Copa Sul-Americana;America do Sul;Masculino;Sudamericana;Wanderers
Liga Profesional de Fútbol;Argentina;Masculino;Primera División;Wanderers
EFL League Two;Inglaterra;Masculino;League Two;Walsall
EFL League Two;Inglaterra;Masculino;EFL League Two;Walsall
3 Liga;Alemanha;Masculino;3. Liga;Waldhof Mannheim
Liga I;Romenia;Masculino;Liga I;Voluntari
Liga Portugal;Portugal;Masculino;Primeira Liga;Vizela
