pais_pt;pais_en
Afeganistão;Afghanistan
Albânia;Albania
Argélia;Algeria
Andorra;Andorra
Angola;Angola
Antígua e Barbuda;Antigua and Barbuda
Argentina;Argentina
Armênia;Armenia
Austrália;Australia
Áustria;Austria
Azerbaijão;Azerbaijan
Bahamas;Bahamas
Bahrein;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Bielorrússia;Belarus
Bélgica;Belgium
Belize;Belize
Benin;Benin
Butão;Bhutan
Bolívia;Bolivia
Bósnia e Herzegovina;Bosnia and Herzegovina
Botsuana;Botswana
Brasil;Brazil
Brunei;Brunei
Bulgária;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Camboja;Cambodia
Camarões;Cameroon
Canadá;Canada
Cabo Verde;Cape Verde Islands
República Centro-Africana;Central African Republic
Chade;Chad
Chile;Chile
China;China PR
Colômbia;Colombia
Comores;Comoros
Congo;Congo DR
Costa Rica;Costa Rica
Costa do Marfim;Côte d’Ivoire
Croácia;Croatia
Cuba;Cuba
Chipre;Cyprus
República Tcheca;Czech Republic
Dinamarca;Denmark
Djibuti;Djibouti
Dominica;Dominica
República Dominicana;Dominican Republic
Equador;Ecuador
Egito;Egypt
El Salvador;El Salvador
Inglaterra;England
Guiné Equatorial;Equatorial Guinea
Eritreia;Eritrea
Estônia;Estonia
Esvatóini;Eswatini
Etiópia;Ethiopia
Fiji;Fiji
Finlândia;Finland
França;France
Gabão;Gabon
Gâmbia;Gambia
Geórgia;Georgia
Alemanha;Germany
Gana;Ghana
Grécia;Greece
Granada;Grenada
Guatemala;Guatemala
Guiné;Guinea
Guiné-Bissau;Guinea-Bissau
Guiana;Guyana
Haiti;Haiti
Honduras;Honduras
Hungria;Hungary
Islândia;Iceland
Índia;India
Indonésia;Indonesia
Irã;Iran
Iraque;Iraq
Israel;Israel
Itália;Italy
Jamaica;Jamaica
Japão;Japan
Jordânia;Jordan
Cazaquistão;Kazakhstan
Quênia;Kenya
Kiribati;Kiribati
Kosovo;Kosovo
Kuwait;Kuwait
Quirguistão;Kyrgyzstan
Laos;Laos
Letônia;Latvia
Líbano;Lebanon
Lesoto;Lesotho
Libéria;Liberia
Líbia;Libya
Liechtenstein;Liechtenstein
Lituânia;Lithuania
Luxemburgo;Luxembourg
Madagáscar;Madagascar
Malawi;Malawi
Malásia;Malaysia
Maldivas;Maldives
Mali;Mali
Malta;Malta
Ilhas Marshall;Marshall Islands
Mauritânia;Mauritania
Maurícia;Mauritius
México;Mexico
Micronésia;Micronesia
Moldávia;Moldova
Mônaco;Monaco
Mongólia;Mongolia
Montenegro;Montenegro
Marrocos;Morocco
Moçambique;Mozambique
Mianmar;Myanmar
Namíbia;Namibia
Nauru;Nauru
Nepal;Nepal
Países Baixos;Netherlands
Nova Zelândia;New Zealand
Nicarágua;Nicaragua
Níger;Niger
Nigéria;Nigeria
Macedônia do Norte;North Macedonia
Irlanda do Norte;Northern Ireland
Noruega;Norway
Omã;Oman
Paquistão;Pakistan
Palau;Palau
Palestina;Palestine
Panamá;Panama
Papua-Nova Guiné;Papua New Guinea
Paraguai;Paraguay
Peru;Peru
Filipinas;Philippines
Polônia;Poland
Portugal;Portugal
Qatar;Qatar
Irlanda;Republic of Ireland
Romênia;Romania
Rússia;Russia
Ruanda;Rwanda
São Cristóvão e Névis;St. Kitts and Nevis
Santa Lúcia;Saint Lucia
São Vicente e Granadinas;Saint Vincent and the Grenadines
Samoa;Samoa
San Marino;San Marino
São Tomé e Príncipe;São Tomé and Príncipe
Arábia Saudita;Saudi Arabia
Escócia;Scotland
Senegal;Senegal
Sérvia;Serbia
Seicheles;Seychelles
Serra Leoa;Sierra Leone
Singapura;Singapore
Eslováquia;Slovakia
Eslovênia;Slovenia
"Salomão, Ilhas";"Solomon Islands"
Somália;Somalia
África do Sul;South Africa
Sudão do Sul;South Sudan
Espanha;Spain
Sri Lanka;Sri Lanka
Sudão;Sudan
Suriname;Suriname
Suécia;Sweden
Suíça;Switzerland
Síria;Syria
Tajiquistão;Tajikistan
Tanzânia;Tanzania
Tailândia;Thailand
Timor-Leste;Timor-Leste
Togo;Togo
Tonga;Tonga
Trinidad e Tobago;Trinidad and Tobago
Tunísia;Tunisia
Turquia;Turkey
Turcomenistão;Turkmenistan
Tuvalu;Tuvalu
Uganda;Uganda
Ucrânia;Ukraine
Emirados Árabes Unidos;United Arab Emirates
Reino Unido;United Kingdom
Estados Unidos;United States
Uruguai;Uruguay
Uzbequistão;Uzbekistan
Vanuatu;Vanuatu
Vaticano;Vatican City
Venezuela;Venezuela
Vietnã;Vietnam
País de Gales;Wales
Iémen;Yemen
Zâmbia;Zambia
Zimbábue;Zimbabwe
Coréia do Sul;Korea Republic
Porto Rico;Puerto Rico
Ilhas Faroe;Faroe Islands
Coréia do Norte;Korea DPR
Holanda;Holland
Costa do Marfim;Côte d'Ivoire
